x1,x2,t,y
3.75,-1.25,0.0,1e-06
3.75,-0.75,0.0,1e-06
3.75,-0.25,0.0,1e-06
3.75,0.25,0.0,1e-06
4.25,-1.75,0.0,1e-06
4.25,-1.25,0.0,1e-06
4.25,-0.75,0.0,1e-06
4.25,0.25,0.0,1e-06
4.25,0.75,0.0,1e-06
4.75,-2.75,0.0,1e-06
4.75,-2.25,0.0,1e-06
4.75,-1.75,0.0,10.173944194562752
4.75,-1.25,0.0,11.86960156032321
4.75,-0.75,0.0,1e-06
4.75,-0.25,0.0,1e-06
4.75,0.25,0.0,17.804402340484813
4.75,0.75,0.0,1e-06
4.75,1.25,0.0,1e-06
5.25,-3.25,0.0,1e-06
5.25,-2.75,0.0,1e-06
5.25,-2.25,0.0,1e-06
5.25,-1.75,0.0,23.739203120646422
5.25,-1.25,0.0,10.173944194562752
5.25,-0.75,0.0,10.173944194562752
5.25,-0.25,0.0,1e-06
5.25,0.25,0.0,1e-06
5.25,0.75,0.0,1e-06
5.25,1.25,0.0,1e-06
5.25,1.75,0.0,1e-06
5.75,-2.75,0.0,1e-06
5.75,-2.25,0.0,7.121760936193928
5.75,-1.75,0.0,7.121760936193928
5.75,-1.25,0.0,7.91306770688214
5.75,-0.75,0.0,1e-06
5.75,-0.25,0.0,10.173944194562752
5.75,0.25,0.0,1e-06
5.75,0.75,0.0,14.243521872387852
5.75,1.25,0.0,1e-06
5.75,1.75,0.0,1e-06
6.25,-4.25,0.0,1e-06
6.25,-3.75,0.0,1e-06
6.25,-2.75,0.0,1e-06
6.25,-2.25,0.0,5.934800780161605
6.25,-1.75,0.0,32.37164061906331
6.25,-1.25,0.0,1e-06
6.25,-0.75,0.0,14.243521872387856
6.25,-0.25,0.0,8.902201170242408
6.25,0.25,0.0,10.173944194562752
6.25,0.75,0.0,1e-06
6.25,1.25,0.0,17.804402340484813
6.25,1.75,0.0,1e-06
6.75,-6.75,0.0,1e-06
6.75,-6.25,0.0,1e-06
6.75,-5.75,0.0,1e-06
6.75,-5.25,0.0,1e-06
6.75,-4.75,0.0,1e-06
6.75,-4.25,0.0,1e-06
6.75,-3.75,0.0,1e-06
6.75,-3.25,0.0,1e-06
6.75,-2.75,0.0,4.451100585121203
6.75,-2.25,0.0,9.495681248258567
6.75,-1.75,0.0,11.86960156032321
6.75,-1.25,0.0,5.934800780161605
6.75,-0.75,0.0,7.121760936193928
6.75,-0.25,0.0,7.121760936193928
6.75,0.25,0.0,1e-06
6.75,0.75,0.0,11.86960156032321
6.75,1.25,0.0,1e-06
6.75,1.75,0.0,1e-06
7.25,-6.75,0.0,1e-06
7.25,-6.25,0.0,1e-06
7.25,-5.75,0.0,1e-06
7.25,-5.25,0.0,1e-06
7.25,-4.75,0.0,1e-06
7.25,-4.25,0.0,2.960080603133794
7.25,-3.75,0.0,1e-06
7.25,-3.25,0.0,12.913819454093037
7.25,-2.75,0.0,3.9565338534410692
7.25,-2.25,0.0,18.991362496517134
7.25,-1.75,0.0,1e-06
7.25,-1.25,0.0,11.86960156032321
7.25,-0.75,0.0,12.948656247625323
7.25,-0.25,0.0,1e-06
7.25,0.25,0.0,1e-06
7.25,0.75,0.0,1e-06
7.25,1.25,0.0,17.804402340484813
7.25,1.75,0.0,1e-06
7.75,-8.25,0.0,1e-06
7.75,-6.75,0.0,1e-06
7.75,-6.25,0.0,1e-06
7.75,-5.75,0.0,1e-06
7.75,-5.25,0.0,1e-06
7.75,-4.75,0.0,1e-06
7.75,-4.25,0.0,2.732900659702546
7.75,-3.75,0.0,8.880241809401383
7.75,-3.25,0.0,11.840322412535176
7.75,-2.75,0.0,3.3881230116648977
7.75,-2.25,0.0,12.567813416812808
7.75,-1.75,0.0,23.739203120646415
7.75,-1.25,0.0,10.17394419456275
7.75,-0.75,0.0,1e-06
7.75,-0.25,0.0,1e-06
7.75,0.25,0.0,1e-06
7.75,0.75,0.0,10.173944194562752
7.75,1.25,0.0,1e-06
7.75,1.75,0.0,1e-06
8.25,-7.75,0.0,1e-06
8.25,-7.25,0.0,1e-06
8.25,-6.75,0.0,3.2284548635232593
8.25,-6.25,0.0,2.732900659702546
8.25,-5.75,0.0,1e-06
8.25,-5.25,0.0,2.450764185859206
8.25,-4.75,0.0,4.442860743431746
8.25,-4.25,0.0,7.1077000083423725
8.25,-3.75,0.0,7.614319050692617
8.25,-3.25,0.0,8.525873379439169
8.25,-2.75,0.0,16.142274317616295
8.25,-2.25,0.0,7.9130677068821385
8.25,-1.75,0.0,1e-06
8.25,-1.25,0.0,4.747840624129283
8.25,-0.75,0.0,5.478277643226097
8.25,-0.25,0.0,14.243521872387856
8.25,0.25,0.0,7.91306770688214
8.25,0.75,0.0,20.347888389125504
8.25,1.25,0.0,1e-06
8.25,1.75,0.0,1e-06
8.75,-8.25,0.0,1e-06
8.75,-7.75,0.0,1e-06
8.75,-6.75,0.0,2.8419577931463897
8.75,-6.25,0.0,1e-06
8.75,-5.75,0.0,1e-06
8.75,-5.25,0.0,2.369233336114124
8.75,-4.75,0.0,8.885721486863492
8.75,-4.25,0.0,4.442860743431746
8.75,-3.75,0.0,24.435734088874604
8.75,-3.25,0.0,9.803056743436825
8.75,-2.75,0.0,17.760483618802766
8.75,-2.25,0.0,3.9565338534410692
8.75,-1.75,0.0,20.946355694688013
8.75,-1.25,0.0,14.24352187238785
8.75,-0.75,0.0,10.17394419456275
8.75,-0.25,0.0,21.36528280858178
8.75,0.25,0.0,15.82613541376428
8.75,0.75,0.0,1e-06
8.75,1.25,0.0,17.804402340484813
9.25,-8.25,0.0,1e-06
9.25,-7.75,0.0,1e-06
9.25,-7.25,0.0,1e-06
9.25,-6.75,0.0,1e-06
9.25,-6.25,0.0,2.450764185859206
9.25,-5.75,0.0,1e-06
9.25,-5.25,0.0,7.1077000083423725
9.25,-4.75,0.0,6.664291115147619
9.25,-4.25,0.0,10.771175726927943
9.25,-3.75,0.0,17.23388116308471
9.25,-3.25,0.0,13.757714941868814
9.25,-2.75,0.0,23.687137032002965
9.25,-2.25,0.0,7.496590459151499
9.25,-1.75,0.0,11.869601560323208
9.25,-1.25,0.0,13.353301755363608
9.25,-0.75,0.0,10.17394419456275
9.25,-0.25,0.0,7.121760936193928
9.25,0.25,0.0,1e-06
9.25,0.75,0.0,1e-06
9.75,-6.75,0.0,1e-06
9.75,-6.25,0.0,7.352292557577618
9.75,-5.75,0.0,4.585904980622938
9.75,-5.25,0.0,10.771175726927943
9.75,-4.75,0.0,16.050667432180283
9.75,-4.25,0.0,19.99287334544286
